Invoice ID,Gender,Product line,Quantity,Spend,Predicted_Gender,Date
750-67-8428,1,Health and beauty,7,548.9715,1,1/5/19
226-31-3081,1,Electronic accessories,5,80.22,1,3/8/19
631-41-3108,0,Home and lifestyle,7,340.5255,0,3/3/19
123-19-1176,0,Health and beauty,8,489.048,0,1/27/19
373-73-7910,0,Sports and travel,7,634.3785,0,2/8/19
699-14-3026,0,Electronic accessories,7,627.6165,0,3/25/19
355-53-5943,1,Electronic accessories,6,433.692,1,2/25/19
315-22-5665,1,Home and lifestyle,10,772.38,1,2/24/19
665-32-9167,1,Health and beauty,2,76.146,1,1/10/19
692-92-5582,1,Food and beverages,3,172.746,1,2/20/19
351-62-0822,1,Fashion accessories,4,60.816,1,2/6/19
529-56-3974,0,Electronic accessories,4,107.142,0,3/9/19
365-64-0515,1,Electronic accessories,5,246.4875,1,2/12/19
252-56-2699,0,Food and beverages,10,453.495,0,2/7/19
829-34-3910,1,Health and beauty,10,749.49,1,3/29/19
299-46-1805,1,Sports and travel,6,590.436,1,1/15/19
656-95-9349,1,Health and beauty,7,506.6355,1,3/11/19
765-26-6951,0,Sports and travel,6,457.443,0,1/1/19
329-62-1586,0,Food and beverages,3,172.2105,0,1/21/19
319-50-3348,1,Home and lifestyle,2,84.63,1,3/11/19
300-71-4605,0,Electronic accessories,5,451.71,0,2/25/19
371-85-5789,0,Health and beauty,3,277.137,0,3/5/19
273-16-6619,0,Home and lifestyle,2,69.72,0,3/15/19
636-48-8204,0,Electronic accessories,5,181.44,0,2/17/19
549-59-1358,0,Sports and travel,3,279.1845,0,3/2/19
227-03-5010,1,Home and lifestyle,8,441.756,1,3/22/19
649-29-6775,0,Fashion accessories,1,35.196,0,2/8/19
189-17-4241,1,Fashion accessories,2,184.107,1,3/10/19
145-94-9061,1,Food and beverages,5,463.89,1,1/25/19
848-62-7243,0,Health and beauty,9,235.2105,0,3/15/19
871-79-8483,0,Fashion accessories,5,494.1825,0,2/25/19
149-71-6266,0,Sports and travel,9,737.7615,0,1/28/19
640-49-2076,0,Sports and travel,8,703.752,0,1/10/19
595-11-5460,0,Health and beauty,2,202.818,0,3/15/19
183-56-6882,1,Food and beverages,4,417.564,1,2/6/19
232-16-2483,1,Sports and travel,1,71.526,1,1/7/19
129-29-8530,0,Sports and travel,5,328.755,0,3/10/19
272-65-1806,1,Electronic accessories,9,575.316,1,1/15/19
333-73-7901,1,Health and beauty,8,461.328,1,3/23/19
777-82-7220,0,Home and lifestyle,8,253.008,0,3/3/19
280-35-5823,1,Home and lifestyle,1,91.056,1,1/17/19
554-53-8700,0,Home and lifestyle,2,117.831,0,2/2/19
354-25-5821,1,Sports and travel,6,435.456,1,2/8/19
228-96-1411,1,Food and beverages,8,829.08,1,3/4/19
617-15-4209,0,Health and beauty,2,32.277,0,3/16/19
132-32-9879,1,Electronic accessories,4,394.632,1,3/9/19
370-41-7321,0,Health and beauty,9,535.7205,0,2/27/19
727-46-3608,1,Food and beverages,9,189.0945,1,2/6/19
669-54-1719,0,Electronic accessories,6,119.259,0,2/10/19
574-22-5561,1,Fashion accessories,10,867.615,1,3/19/19
326-78-5178,0,Food and beverages,7,671.79,0,2/3/19
162-48-8011,1,Food and beverages,5,234.0975,1,2/10/19
616-24-2851,1,Fashion accessories,4,75.054,1,3/22/19
